"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"04.01.2021 12:15 - 04.01.2021 12:30","62368","70704"
"04.01.2021 12:30 - 04.01.2021 12:45","62307","70703"
"04.01.2021 12:45 - 04.01.2021 13:00","62171","70430"
"04.01.2021 13:00 - 04.01.2021 13:15","62066","70350"
"04.01.2021 13:15 - 04.01.2021 13:30","61737","70253"
"04.01.2021 13:30 - 04.01.2021 13:45","61239","69976"
"04.01.2021 13:45 - 04.01.2021 14:00","60543","69355"
"04.01.2021 14:00 - 04.01.2021 14:15","60470","69422"
"04.01.2021 14:15 - 04.01.2021 14:30","60227","69166"
"04.01.2021 14:30 - 04.01.2021 14:45","60201","69001"
"04.01.2021 14:45 - 04.01.2021 15:00","59921","68853"
"04.01.2021 15:00 - 04.01.2021 15:15","59859","69302"
"04.01.2021 15:15 - 04.01.2021 15:30","59322","69055"
"04.01.2021 15:30 - 04.01.2021 15:45","59361","68866"
"04.01.2021 15:45 - 04.01.2021 16:00","59228","68606"
"04.01.2021 16:00 - 04.01.2021 16:15","59288","69270"
"04.01.2021 16:15 - 04.01.2021 16:30","59724","69378"
"04.01.2021 16:30 - 04.01.2021 16:45","60183","69915"
"04.01.2021 16:45 - 04.01.2021 17:00","60791","70604"
"04.01.2021 17:00 - 04.01.2021 17:15","61258","71178"
"04.01.2021 17:15 - 04.01.2021 17:30","61976","71541"
"04.01.2021 17:30 - 04.01.2021 17:45","62845","71793"
"04.01.2021 17:45 - 04.01.2021 18:00","63240","71945"
"04.01.2021 18:00 - 04.01.2021 18:15","63011","71639"
"04.01.2021 18:15 - 04.01.2021 18:30","63137","71320"
"04.01.2021 18:30 - 04.01.2021 18:45","62847","71121"
"04.01.2021 18:45 - 04.01.2021 19:00","62989","70558"
"04.01.2021 19:00 - 04.01.2021 19:15","62448","70048"
"04.01.2021 19:15 - 04.01.2021 19:30","61528","69572"
"04.01.2021 19:30 - 04.01.2021 19:45","61252","69130"
"04.01.2021 19:45 - 04.01.2021 20:00","60617","68299"
"04.01.2021 20:00 - 04.01.2021 20:15","59500","67316"
"04.01.2021 20:15 - 04.01.2021 20:30","58149","66329"
"04.01.2021 20:30 - 04.01.2021 20:45","57279","65318"
"04.01.2021 20:45 - 04.01.2021 21:00","56487","64342"
"04.01.2021 21:00 - 04.01.2021 21:15","56024","63697"
"04.01.2021 21:15 - 04.01.2021 21:30","55749","62955"
"04.01.2021 21:30 - 04.01.2021 21:45","54811","62210"
"04.01.2021 21:45 - 04.01.2021 22:00","54479","61368"
